year,cum_china,cum_outside
1901,0,235
1902,0,238
1903,0,243
1904,0,248
1905,0,253
1906,0,259
1907,0,266
1908,0,270
1909,0,275
1910,0,285
1911,0,290
1912,0,297
1913,0,299
1914,0,310
1915,0,322
1916,0,324
1917,0,326
1918,0,331
1919,0,339
1920,0,340
1921,0,344
1922,0,353
1923,0,358
1924,0,360
1925,0,362
1926,0,364
1927,0,365
1928,0,367
1929,0,371
1930,0,374
1931,0,378
1932,0,381
1933,0,381
1934,0,385
1935,0,387
1936,0,392
1937,0,392
1938,0,401
1939,0,404
1940,0,405
1941,0,409
1942,1,410
1943,4,413
1944,13,417
1945,19,425
1946,22,425
1947,22,425
1948,22,426
1949,22,432
1950,22,441
1951,72,474
1952,88,487
1953,101,508
1954,116,513
1955,123,513
1956,134,516
1957,139,528
1958,140,530
1959,141,540
1960,141,545
1961,141,589
1962,142,594
1963,142,599
1964,142,602
1965,142,605
1966,142,606
1967,142,607
1968,142,609
1969,142,610
1970,142,611
1971,142,611
1972,142,611
1973,143,620
1974,143,624
1975,143,626
1976,143,628
1977,143,628
1978,143,629
1979,143,629
1980,143,629
1981,143,629
1982,143,635
1983,143,635
1984,143,635
1985,143,635
1986,143,635
1987,143,635
1988,143,635
1989,143,635
1990,143,635
1991,144,635
1992,145,635
1993,145,635
1994,145,635
1995,146,635
1996,147,635
1997,147,636
1998,147,637
1999,148,637
2000,148,638
2001,149,638
2002,149,639
2003,149,639
2004,152,639
2005,152,639
2006,153,639
2007,153,639
2008,153,639
2009,153,639
2010,153,639
2011,153,639
2012,153,640
2013,153,640
2014,153,640
2015,153,640
2016,153,640
2017,153,640
2018,153,640
2019,153,640
2020,153,640
2021,153,640
2022,153,640
2023,153,640
2024,153,640
2025,153,640
