year,cum_china,cum_outside
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,1,2
1943,11,16
1944,24,36
1945,51,67
1946,59,68
1947,60,68
1948,60,69
1949,66,70
1950,68,80
1951,68,108
1952,71,115
1953,71,133
1954,80,150
1955,80,153
1956,280,154
1957,438,166
1958,442,169
1959,458,178
1960,465,181
1961,489,185
1962,545,186
1963,546,190
1964,548,191
1965,548,192
1966,548,193
1967,548,195
1968,548,197
1969,548,198
1970,548,198
1971,548,198
1972,548,198
1973,605,258
1974,627,273
1975,631,281
1976,632,297
1977,634,305
1978,635,314
1979,648,325
1980,678,330
1981,688,335
1982,690,345
1983,693,351
1984,696,352
1985,697,356
1986,701,356
1987,702,360
1988,705,362
1989,711,368
1990,715,371
1991,716,372
1992,718,379
1993,722,386
1994,724,386
1995,726,387
1996,726,390
1997,727,391
1998,728,392
1999,729,395
2000,729,401
2001,730,407
2002,731,411
2003,732,416
2004,743,419
2005,746,427
2006,747,428
2007,750,431
2008,751,432
2009,751,443
2010,753,445
2011,753,462
2012,753,468
2013,754,470
2014,757,470
2015,758,487
2016,759,489
2017,759,490
2018,759,492
2019,760,493
2020,760,493
2021,760,493
2022,760,494
2023,760,494
2024,760,494
2025,760,494
