# year  n_stations
1901 235
1902 238
1903 243
1904 248
1905 253
1906 259
1907 266
1908 270
1909 275
1910 285
1911 290
1912 297
1913 299
1914 310
1915 322
1916 324
1917 326
1918 331
1919 339
1920 340
1921 344
1922 353
1923 358
1924 360
1925 362
1926 364
1927 365
1928 367
1929 371
1930 374
1931 378
1932 381
1933 381
1934 385
1935 387
1936 392
1937 392
1938 401
1939 404
1940 405
1941 409
1942 411
1943 416
1944 429
1945 440
1946 441
1947 437
1948 436
1949 439
1950 444
1951 523
1952 548
1953 578
1954 593
1955 578
1956 569
1957 575
1958 555
1959 549
1960 525
1961 567
1962 566
1963 558
1964 548
1965 540
1966 532
1967 492
1968 450
1969 404
1970 362
1971 213
1972 213
1973 221
1974 225
1975 227
1976 229
1977 229
1978 229
1979 227
1980 227
1981 227
1982 231
1983 231
1984 231
1985 230
1986 229
1987 228
1988 228
1989 228
1990 225
1991 225
1992 226
1993 225
1994 225
1995 226
1996 225
1997 226
1998 228
1999 226
2000 227
2001 225
2002 226
2003 225
2004 227
2005 228
2006 227
2007 227
2008 227
2009 227
2010 226
2011 226
2012 227
2013 226
2014 226
2015 225
2016 224
2017 224
2018 224
2019 224
2020 224
2021 224
2022 224
2023 223
2024 218
2025 217
