# year  n_stations
1901 0
1902 0
1903 0
1904 0
1905 0
1906 0
1907 0
1908 0
1909 0
1910 0
1911 0
1912 0
1913 0
1914 0
1915 0
1916 0
1917 0
1918 0
1919 0
1920 0
1921 0
1922 0
1923 0
1924 0
1925 0
1926 0
1927 0
1928 0
1929 0
1930 0
1931 0
1932 0
1933 0
1934 0
1935 0
1936 0
1937 0
1938 0
1939 0
1940 0
1941 0
1942 1
1943 4
1944 13
1945 19
1946 22
1947 22
1948 22
1949 21
1950 20
1951 70
1952 86
1953 99
1954 114
1955 121
1956 132
1957 137
1958 138
1959 139
1960 139
1961 139
1962 140
1963 140
1964 140
1965 140
1966 140
1967 140
1968 140
1969 140
1970 140
1971 140
1972 140
1973 141
1974 141
1975 141
1976 141
1977 141
1978 141
1979 141
1980 141
1981 141
1982 141
1983 141
1984 141
1985 141
1986 141
1987 140
1988 140
1989 140
1990 140
1991 141
1992 142
1993 141
1994 141
1995 142
1996 141
1997 141
1998 141
1999 141
2000 141
2001 140
2002 140
2003 140
2004 142
2005 142
2006 143
2007 143
2008 143
2009 143
2010 142
2011 142
2012 142
2013 141
2014 141
2015 140
2016 139
2017 139
2018 139
2019 139
2020 139
2021 139
2022 139
2023 139
2024 134
2025 134
