# year  n_stations
1901 0
1902 0
1903 0
1904 0
1905 0
1906 0
1907 0
1908 0
1909 0
1910 0
1911 0
1912 0
1913 0
1914 0
1915 0
1916 0
1917 0
1918 0
1919 0
1920 0
1921 0
1922 0
1923 0
1924 0
1925 0
1926 0
1927 0
1928 0
1929 0
1930 0
1931 0
1932 0
1933 0
1934 0
1935 0
1936 0
1937 0
1938 0
1939 0
1940 0
1941 0
1942 0
1943 0
1944 0
1945 0
1946 0
1947 0
1948 0
1949 0
1950 0
1951 2
1952 2
1953 2
1954 4
1955 4
1956 4
1957 4
1958 3
1959 3
1960 4
1961 4
1962 4
1963 5
1964 5
1965 5
1966 5
1967 5
1968 4
1969 4
1970 4
1971 2
1972 2
1973 4
1974 4
1975 4
1976 4
1977 4
1978 4
1979 4
1980 4
1981 4
1982 4
1983 4
1984 4
1985 4
1986 4
1987 5
1988 6
1989 5
1990 5
1991 5
1992 5
1993 5
1994 5
1995 5
1996 6
1997 6
1998 6
1999 6
2000 2
2001 1
2002 1
2003 2
2004 2
2005 6
2006 5
2007 6
2008 5
2009 5
2010 5
2011 5
2012 5
2013 5
2014 5
2015 5
2016 5
2017 5
2018 5
2019 5
2020 617
2021 610
2022 611
2023 612
2024 604
2025 593
