year,china,outside
1901,0,235
1902,0,238
1903,0,243
1904,0,248
1905,0,253
1906,0,259
1907,0,266
1908,0,270
1909,0,275
1910,0,285
1911,0,290
1912,0,297
1913,0,299
1914,0,310
1915,0,322
1916,0,324
1917,0,326
1918,0,331
1919,0,339
1920,0,340
1921,0,344
1922,0,353
1923,0,358
1924,0,360
1925,0,362
1926,0,364
1927,0,365
1928,0,367
1929,0,371
1930,0,374
1931,0,378
1932,0,381
1933,0,381
1934,0,385
1935,0,387
1936,0,392
1937,0,392
1938,0,401
1939,0,404
1940,0,405
1941,0,409
1942,1,410
1943,4,412
1944,13,416
1945,19,421
1946,22,419
1947,22,415
1948,22,414
1949,21,418
1950,20,424
1951,70,453
1952,86,462
1953,99,479
1954,114,479
1955,121,457
1956,132,437
1957,137,438
1958,138,417
1959,139,410
1960,139,386
1961,139,428
1962,140,426
1963,140,418
1964,140,408
1965,140,400
1966,140,392
1967,140,352
1968,140,310
1969,140,264
1970,140,222
1971,140,73
1972,140,73
1973,141,80
1974,141,84
1975,141,86
1976,141,88
1977,141,88
1978,141,88
1979,141,86
1980,141,86
1981,141,86
1982,141,90
1983,141,90
1984,141,90
1985,141,89
1986,141,88
1987,140,88
1988,140,88
1989,140,88
1990,140,85
1991,141,84
1992,142,84
1993,141,84
1994,141,84
1995,142,84
1996,141,84
1997,141,85
1998,141,87
1999,141,85
2000,141,86
2001,140,85
2002,140,86
2003,140,85
2004,142,85
2005,142,86
2006,143,84
2007,143,84
2008,143,84
2009,143,84
2010,142,84
2011,142,84
2012,142,85
2013,141,85
2014,141,85
2015,140,85
2016,139,85
2017,139,85
2018,139,85
2019,139,85
2020,139,85
2021,139,85
2022,139,85
2023,139,84
2024,134,84
2025,134,83
