year,china,outside
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,1,2
1943,11,16
1944,24,35
1945,46,58
1946,24,11
1947,15,5
1948,11,4
1949,12,8
1950,13,18
1951,13,41
1952,14,36
1953,8,53
1954,23,68
1955,23,57
1956,230,56
1957,390,70
1958,302,71
1959,364,73
1960,330,74
1961,392,87
1962,442,85
1963,435,66
1964,286,65
1965,6,64
1966,0,44
1967,0,46
1968,1,42
1969,1,40
1970,1,40
1971,1,17
1972,0,6
1973,499,147
1974,493,152
1975,487,154
1976,490,167
1977,487,163
1978,483,170
1979,517,172
1980,549,164
1981,549,163
1982,513,164
1983,501,168
1984,502,162
1985,505,162
1986,504,152
1987,497,158
1988,500,158
1989,501,165
1990,503,168
1991,499,166
1992,491,177
1993,489,188
1994,481,183
1995,470,190
1996,470,194
1997,471,196
1998,421,196
1999,374,197
2000,345,189
2001,280,196
2002,278,202
2003,277,174
2004,287,200
2005,289,200
2006,289,173
2007,289,177
2008,288,184
2009,287,193
2010,289,193
2011,286,211
2012,288,228
2013,290,228
2014,291,232
2015,292,250
2016,295,258
2017,293,278
2018,293,280
2019,294,282
2020,294,281
2021,294,280
2022,294,283
2023,294,284
2024,287,279
2025,287,270
